Title;Authors;Abstract;Published Year;Published Month;Journal;Volume;Issue;Pages;Accession Number;DOI;Ref;Covidence #;Study;Tags
The Effect of an Augmented Input Intervention on Subtraction Word-Problem Solving for Children with Intellectual Disabilities: A Preliminary Study;"Naude, Tracy; Dada, Shakila; Bornman, Juan";;2020;;INTERNATIONAL JOURNAL OF DISABILITY DEVELOPMENT AND EDUCATION;;;;;10.1080/1034912X.2020.1840530;;#6424;;
Teaching Students With Mild Intellectual Disability to Solve Word Problems Using Schema-Based Instruction;"Polo-Blanco, Irene; Gonzalez Lopez, Maria J.; Bruno, Alicia; Gonzalez-Sanchez, Jon";;2021;;LEARNING DISABILITY QUARTERLY;;;;;10.1177/07319487211061421;;#7187;;
Investigation of the effects of physical education activities on motor skills and quality of life in children with intellectual disability;"Ozkan, Zekiye; Kale, Rasim";;2021;;INTERNATIONAL JOURNAL OF DEVELOPMENTAL DISABILITIES;;;;;10.1080/20473869.2021.1978267;;#7205;;
An analysis of the utility of digital materials for high school students with intellectual disability and their effects on academic success;"Deveci Topal, Arzu; Kolburan Gecer, Aynur; Coban Budak, Esra";;2021;;UNIVERSAL ACCESS IN THE INFORMATION SOCIETY;;;;;10.1007/s10209-021-00840-0;;#7206;;
Applying High Leverage Practices to Increase Active Engagement and On-task Behavior of Students with Intellectual Disabilities during Literacy Activities;"Horn, Channon K.; Ackerman, Kera B.; Hitch, Elena J.";;2022;;JOURNAL OF SPECIAL EDUCATION TECHNOLOGY;;;;;10.1177/01626434211019395;;#7258;;
Outcomes of Teacher Professional Development and Learning in Addressing Challenging Behaivour in Vietnamese Students with Intellectual Disability: A Pilot Study;"Pham, Thi Quynh Ni; Arthur-Kelly, Michael; Foggett, Judith; Lyons, Gordon";;2021;;INTERNATIONAL JOURNAL OF DISABILITY DEVELOPMENT AND EDUCATION;;;;;10.1080/1034912X.2021.1892032;;#7261;;original_search
A study of the use of virtual reality headsets in Chinese adolescents with intellectual disability;"Wang, Xiao; Liang, Xuan; Yao, Junyi; Wang, Tingzhao; Feng, Jianxin";;2021;;INTERNATIONAL JOURNAL OF DEVELOPMENTAL DISABILITIES;;;;;10.1080/20473869.2021.1970938;;#7274;;
Teaching Physics to Students With Intellectual Disabilities Using Digital Learning Objects;"Mallidis-Malessas, Panos; Iatraki, Georgia; Mikropoulos, Tassos Anastasios";;2022;;JOURNAL OF SPECIAL EDUCATION TECHNOLOGY;;;;;10.1177/01626434211054441;;#7281;;
Using Video Modeling, Explicit Instruction, and Augmented Reality to Teach Mathematics to Students With Disabilities;"Morris, Jared R.; Hughes, Elizabeth M.; Stocker, James D.; Davis, Emelie S.";;2021;;LEARNING DISABILITY QUARTERLY;;;;;10.1177/07319487211040470;;#7324;;
Does the combination of physical activity and attention training affect the motor skills and cognitive activities of individuals with mild intellectual disability?;"Korkusuz, Sevda; Top, Elif";;2021;;INTERNATIONAL JOURNAL OF DEVELOPMENTAL DISABILITIES;;;;;10.1080/20473869.2021.1995640;;#7348;;
Increasing Sight-Phrase Reading with an iPad intervention for Two Students with Intellectual Disability;"Aspiranti, Kathleen B.; Dula, Mark E.; Ebner, Sara; Hilton-Prillhart, Angela";;2022;;JOURNAL OF IN℡LECTUAL DISABILITIES;;;;;10.1177/17446295221083148;;#7829;;
Effectiveness of Montessori Sensorial Training Program for Children with Mild Intellectual Disabilities in Pakistan: A Randomized Control Trial;"Mushtaq, Asia; Afshan, Anjum; Rehna, Tasnim; Sabih, Fazaila; Najmussaqib, Arooj";;2022;;INTERNATIONAL JOURNAL OF DISABILITY DEVELOPMENT AND EDUCATION;;;;;10.1080/1034912X.2021.2016657;;#7841;;
The effectiveness of augmented reality for English vocabulary instruction of Greek students with intellectual disability;"Rapti, Danai; Gerogiannis, Demetris; Soulis, Spyridon-Georgios";;2022;;EUROPEAN JOURNAL OF SPECIAL NEEDS EDUCATION;;;;;10.1080/08856257.2022.2045816;;#7854;;
Effectiveness of a peer-mediated intervention on job and social skills for students with intellectual disability: a pilot study;"Athamanah, Lindsay S.; Cushing, Lisa S.";;2022;;INTERNATIONAL JOURNAL OF DEVELOPMENTAL DISABILITIES;;;;;10.1080/20473869.2022.2046441;;#7855;;
Using behavior skills training to teach recreational motor skills to middle school students with moderate disabilities;"Macadangdang, Jennifer; Black, Rhonda S.";;2022;;BEHAVIORAL INTERVENTIONS;;;;;10.1002/bin.1880;;#7922;;
Vocabulary Acquisition by Multilingual Students With Extensive Support Needs During Shared Reading;"Frates, Adriana; Spooner, Fred; Collins, Belva C.; Bear, Candi Running";;2022;;RESEARCH AND PRACTICE FOR PERSONS WITH SEVERE DISABILITIES;;;;;10.1177/15407969221113590;;#7944;;
